Timestamp,type,alk small,alk small percent,alk large,alk large percent,, cz small,cz small percent,cz large,cz large percent,,lithium small,lithium small percent,lithium large,lithium large percent,,nimh small,nimh small percent,nimh large,nimh large percent,,
0018-11-23 15:48:00,alkaline,3.07,99.35275081,2.87,92.8802589,CarbZinc,3.12,96.89440994,2.75,85.40372671,Lithium,3.34,97.09302326,3.01,87.5,NiMH,2.79,98.93617021,2.65,93.97163121,,
0018-11-23 15:49:00,alkaline,3.07,99.35275081,2.86,92.5566343,CarbZinc,3.12,96.89440994,2.75,85.40372671,Lithium,3.34,97.09302326,3.01,87.5,NiMH,2.79,98.93617021,2.65,93.97163121,,
0018-11-23 15:50:00,alkaline,3.07,99.35275081,2.86,92.5566343,CarbZinc,3.12,96.89440994,2.75,85.40372671,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.65,93.97163121,,
0018-11-23 15:51:00,alkaline,3.07,99.35275081,2.86,92.5566343,CarbZinc,3.12,96.89440994,2.74,85.0931677,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.65,93.97163121,,
0018-11-23 15:52:00,alkaline,3.07,99.35275081,2.86,92.5566343,CarbZinc,3.12,96.89440994,2.74,85.0931677,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.65,93.97163121,,
0018-11-23 15:53:00,alkaline,3.07,99.35275081,2.86,92.5566343,CarbZinc,3.11,96.58385093,2.74,85.0931677,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.65,93.97163121,,
0018-11-23 15:54:00,alkaline,3.07,99.35275081,2.86,92.5566343,CarbZinc,3.11,96.58385093,2.74,85.0931677,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 15:55:00,alkaline,3.07,99.35275081,2.85,92.23300971,CarbZinc,3.11,96.58385093,2.74,85.0931677,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 15:56:00,alkaline,3.07,99.35275081,2.85,92.23300971,CarbZinc,3.11,96.58385093,2.73,84.7826087,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 15:57:00,alkaline,3.07,99.35275081,2.85,92.23300971,CarbZinc,3.11,96.58385093,2.73,84.7826087,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 15:58:00,alkaline,3.06,99.02912621,2.85,92.23300971,CarbZinc,3.11,96.58385093,2.73,84.7826087,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 15:59:00,alkaline,3.06,99.02912621,2.85,92.23300971,CarbZinc,3.11,96.58385093,2.73,84.7826087,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 16:00:00,alkaline,3.06,99.02912621,2.85,92.23300971,CarbZinc,3.11,96.58385093,2.73,84.7826087,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 16:01:00,alkaline,3.06,99.02912621,2.85,92.23300971,CarbZinc,3.11,96.58385093,2.73,84.7826087,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 16:02:00,alkaline,3.06,99.02912621,2.84,91.90938511,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.64,93.61702128,,
0018-11-23 16:03:00,alkaline,3.06,99.02912621,2.84,91.90938511,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.63,93.26241135,,
0018-11-23 16:04:00,alkaline,3.06,99.02912621,2.84,91.90938511,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.79,98.93617021,2.63,93.26241135,,
0018-11-23 16:05:00,alkaline,3.06,99.02912621,2.84,91.90938511,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:06:00,alkaline,3.06,99.02912621,2.84,91.90938511,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:07:00,alkaline,3.06,99.02912621,2.84,91.90938511,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:08:00,alkaline,3.06,99.02912621,2.84,91.90938511,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:09:00,alkaline,3.06,99.02912621,2.83,91.58576052,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:10:00,alkaline,3.06,99.02912621,2.83,91.58576052,CarbZinc,3.1,96.27329193,2.72,84.47204969,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:11:00,alkaline,3.06,99.02912621,2.83,91.58576052,CarbZinc,3.1,96.27329193,2.71,84.16149068,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:12:00,alkaline,3.06,99.02912621,2.83,91.58576052,CarbZinc,3.1,96.27329193,2.71,84.16149068,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:13:00,alkaline,3.06,99.02912621,2.83,91.58576052,CarbZinc,3.1,96.27329193,2.71,84.16149068,Lithium,3.34,97.09302326,3.02,87.79069767,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:14:00,alkaline,3.06,99.02912621,2.83,91.58576052,CarbZinc,3.1,96.27329193,2.71,84.16149068,Lithium,3.34,97.09302326,3.01,87.5,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:15:00,alkaline,3.06,99.02912621,2.83,91.58576052,CarbZinc,3.09,95.96273292,2.71,84.16149068,Lithium,3.34,97.09302326,3.01,87.5,NiMH,2.78,98.58156028,2.63,93.26241135,,
0018-11-23 16:16:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.71,84.16149068,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:17:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.7,83.85093168,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:18:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.7,83.85093168,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:19:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.7,83.85093168,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:20:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.7,83.85093168,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:21:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.7,83.85093168,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:22:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.7,83.85093168,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:23:00,alkaline,3.06,99.02912621,2.82,91.26213592,CarbZinc,3.09,95.96273292,2.69,83.54037267,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
0018-11-23 16:24:00,alkaline,3.06,99.02912621,2.81,90.93851133,CarbZinc,3.09,95.96273292,2.69,83.54037267,Lithium,3.35,97.38372093,3.01,87.5,NiMH,2.78,98.58156028,2.62,92.90780142,,
