[18-11-23 17:10:38 59.929300] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:11:38 59.928382] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:12:38 59.928275] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:13:38 59.929253] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:14:38 59.927993] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:15:38 59.928068] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:16:37 59.928943] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:17:37 59.927886] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:18:37 59.927576] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:19:37 59.930036] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:20:37 59.926052] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:21:37 59.927560] , alkaline, Small Load, 3.04, Large Load, 2.77
[18-11-23 17:22:37 59.928626] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:23:37 59.928654] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:24:37 59.927625] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:25:37 59.927942] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:26:37 59.931164] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:27:37 59.928761] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:28:37 59.930635] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:29:37 59.930508] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:30:36 59.928085] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:31:36 59.930072] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:32:36 59.930103] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:33:36 59.927483] , alkaline, Small Load, 3.04, Large Load, 2.76
[18-11-23 17:34:36 59.929911] , alkaline, Small Load, 3.05, Large Load, 2.77
[18-11-23 17:35:36 59.929745] , alkaline, Small Load, 3.05, Large Load, 2.77
[18-11-23 17:36:36 59.927913] , alkaline, Small Load, 3.05, Large Load, 2.77
[18-11-23 17:37:36 59.929669] , alkaline, Small Load, 3.05, Large Load, 2.77
[18-11-23 17:38:36 59.929729] , alkaline, Small Load, 3.05, Large Load, 2.77
[18-11-23 17:39:36 59.928672] , alkaline, Small Load, 3.05, Large Load, 2.77
[18-11-23 17:40:36 59.928577] , alkaline, Small Load, 3.05, Large Load, 2.76
