[18-11-23 18:48:20 59.992083] , CarbZinc, Small Load, 3.01, Large Load, 2.56
[18-11-23 18:49:20 59.991931] , CarbZinc, Small Load, 3.01, Large Load, 2.56
[18-11-23 18:50:20 59.993105] , CarbZinc, Small Load, 3.01, Large Load, 2.56
[18-11-23 18:51:20 59.991955] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:52:20 59.992956] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:53:20 59.992065] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:54:20 59.992112] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:55:20 59.993046] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:56:20 59.991934] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:57:20 59.991969] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:58:20 59.993071] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 18:59:20 59.992068] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 19:00:20 59.991914] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 19:01:20 59.993043] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 19:02:20 59.992090] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 19:03:20 59.991862] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 19:04:20 59.992806] , CarbZinc, Small Load, 3.00, Large Load, 2.56
[18-11-23 19:05:20 59.991988] , CarbZinc, Small Load, 3.00, Large Load, 2.55
[18-11-23 19:06:20 59.991869] , CarbZinc, Small Load, 3.00, Large Load, 2.55
[18-11-23 19:07:20 59.992928] , CarbZinc, Small Load, 3.00, Large Load, 2.55
[18-11-23 19:08:20 59.993008] , CarbZinc, Small Load, 3.00, Large Load, 2.55
[18-11-23 19:09:20 59.991620] , CarbZinc, Small Load, 3.00, Large Load, 2.55
[18-11-23 19:10:20 59.991623] , CarbZinc, Small Load, 3.00, Large Load, 2.55
[18-11-23 19:11:20 59.992932] , CarbZinc, Small Load, 3.00, Large Load, 2.55
[18-11-23 19:12:20 59.990611] , CarbZinc, Small Load, 3.00, Large Load, 2.55
