[18-11-23 16:31:39 59.972469] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:32:39 59.971385] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:33:39 59.971275] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:34:39 59.972359] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:35:39 59.971498] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:36:39 59.971401] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:37:39 59.972363] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:38:39 59.971436] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:39:39 59.971265] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:40:39 59.972402] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:41:39 59.971356] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:42:39 59.971219] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:43:39 59.972547] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:44:39 59.972258] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:45:39 59.971411] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:46:39 59.971344] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:47:39 59.972247] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:48:39 59.970383] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:49:39 59.972237] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:50:39 59.972344] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:51:39 59.971553] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:52:38 59.976738] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:53:38 59.976125] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:54:38 59.973872] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:55:38 59.975590] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:56:38 59.975020] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:57:38 59.972627] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:58:38 59.974652] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 16:59:38 59.974496] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:00:38 59.973359] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:01:38 59.973175] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:02:38 59.973806] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:03:38 59.972895] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:04:38 59.972660] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:05:38 59.973564] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:06:38 59.972562] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:07:38 59.972467] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:08:38 59.973310] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:09:38 59.972539] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:10:38 59.972092] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:11:38 59.973327] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:12:38 59.971856] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:13:38 59.971863] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:14:38 59.972828] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:15:38 59.971608] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:16:38 59.972711] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:17:38 59.971447] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:18:38 59.971259] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:19:38 59.972320] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:20:38 59.971233] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:21:38 59.971090] , Lithium, Small Load, 3.36, Large Load, 3.02
[18-11-23 17:22:38 59.972156] , Lithium, Small Load, 3.35, Large Load, 3.02
[18-11-23 17:23:38 59.971434] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:24:38 59.971207] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:25:38 59.972613] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:26:38 59.973758] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:27:38 59.973566] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:28:38 59.974214] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:29:37 59.973198] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:30:37 59.973077] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:31:37 59.973782] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:32:37 59.973911] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:33:37 59.972732] , Lithium, Small Load, 3.35, Large Load, 3.01
[18-11-23 17:34:37 59.972794] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:35:37 59.973620] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:36:37 59.971639] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:37:37 59.973591] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:38:37 59.973451] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:39:37 59.971543] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:40:37 59.973467] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:41:37 59.973355] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:42:37 59.971285] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:43:37 59.973317] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:44:37 59.973157] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:45:37 59.971336] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:46:37 59.973369] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:47:37 59.973140] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:48:37 59.972314] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:49:37 59.972149] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:50:37 59.973299] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:51:37 59.971939] , Lithium, Small Load, 3.37, Large Load, 3.03
[18-11-23 17:52:37 59.972315] , Lithium, Small Load, 3.37, Large Load, 3.02
[18-11-23 17:53:37 59.973067] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 17:54:37 59.972013] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 17:55:37 59.971929] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 17:56:37 59.972977] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 17:57:37 59.971919] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 17:58:37 59.971995] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 17:59:37 59.972807] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:00:37 59.973109] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:01:37 59.972917] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:02:37 59.974069] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:03:37 59.972659] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:04:37 59.973881] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:05:37 59.972536] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:06:36 59.972695] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:07:36 59.973521] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:08:36 59.972555] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:09:36 59.972675] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:10:36 59.973384] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:11:36 59.972580] , Lithium, Small Load, 3.37, Large Load, 3.01
[18-11-23 18:12:36 59.972373] , Lithium, Small Load, 3.37, Large Load, 3.01
