[18-11-23 16:38:25 59.940340] , NiMH, Small Load, 2.78, Large Load, 2.60
[18-11-23 16:39:25 59.939181] , NiMH, Small Load, 2.77, Large Load, 2.60
[18-11-23 16:40:25 59.940436] , NiMH, Small Load, 2.77, Large Load, 2.60
[18-11-23 16:41:25 59.939021] , NiMH, Small Load, 2.77, Large Load, 2.60
[18-11-23 16:42:25 59.939314] , NiMH, Small Load, 2.77, Large Load, 2.60
[18-11-23 16:43:25 59.940322] , NiMH, Small Load, 2.77, Large Load, 2.60
[18-11-23 16:44:25 59.939188] , NiMH, Small Load, 2.77, Large Load, 2.60
[18-11-23 16:45:24 59.939388] , NiMH, Small Load, 2.77, Large Load, 2.60
[18-11-23 16:46:24 59.940249] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:47:24 59.939212] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:48:24 59.939054] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:49:24 59.940393] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:50:24 59.939159] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:51:24 59.939448] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:52:24 59.944717] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:53:24 59.943349] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:54:24 59.942684] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:55:24 59.943533] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:56:24 59.943238] , NiMH, Small Load, 2.77, Large Load, 2.59
[18-11-23 16:57:24 59.941881] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 16:58:24 59.941570] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 16:59:24 59.942384] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:00:24 59.940359] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:01:24 59.942083] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:02:23 59.942038] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:03:23 59.939762] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:04:23 59.941695] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:05:23 59.941529] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:06:23 59.939451] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:07:23 59.941575] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:08:23 59.941462] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:09:23 59.939255] , NiMH, Small Load, 2.77, Large Load, 2.58
[18-11-23 17:10:23 59.941003] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:11:23 59.941331] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:12:23 59.939976] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:13:23 59.939934] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:14:23 59.940862] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:15:23 59.939623] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:16:23 59.939752] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:17:23 59.940449] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:18:23 59.939225] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:19:22 59.939463] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:20:22 59.940245] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:21:22 59.939123] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:22:22 59.939142] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:23:22 59.940126] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:24:22 59.939285] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:25:22 59.939313] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:26:22 59.942370] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:27:22 59.941485] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:28:22 59.942340] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:29:22 59.941106] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:30:22 59.941136] , NiMH, Small Load, 2.76, Large Load, 2.57
[18-11-23 17:31:22 59.941786] , NiMH, Small Load, 2.76, Large Load, 2.56
[18-11-23 17:32:22 59.941028] , NiMH, Small Load, 2.76, Large Load, 2.56
[18-11-23 17:33:22 59.940494] , NiMH, Small Load, 2.76, Large Load, 2.56
[18-11-23 17:34:22 59.941649] , NiMH, Small Load, 2.78, Large Load, 2.57
[18-11-23 17:35:22 59.940755] , NiMH, Small Load, 2.78, Large Load, 2.57
[18-11-23 17:36:21 59.940670] , NiMH, Small Load, 2.78, Large Load, 2.57
[18-11-23 17:37:21 59.941433] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:38:21 59.940434] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:39:21 59.940402] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:40:21 59.941480] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:41:21 59.941574] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:42:21 59.938877] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:43:21 59.941200] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:44:21 59.941079] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:45:21 59.940253] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:46:21 59.940255] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:47:21 59.941187] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:48:21 59.939182] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:49:21 59.941249] , NiMH, Small Load, 2.77, Large Load, 2.57
[18-11-23 17:50:21 59.940860] , NiMH, Small Load, 2.77, Large Load, 2.56
[18-11-23 17:51:21 59.938984] , NiMH, Small Load, 2.77, Large Load, 2.56
